season,round,datetime,venue,for_team,for_is_home,for_goals1,for_behinds1,for_goals2,for_behinds2,for_goals3,for_behinds3,for_goals4,for_behinds4,for_total_score,for_match_points,for_is_win,for_is_draw,for_is_loss,against_team,against_is_home,against_goals1,against_behinds1,against_goals2,against_behinds2,against_goals3,against_behinds3,against_goals4,against_behinds4,against_total_score,against_match_points,against_is_win,against_is_draw,against_is_loss,edge_type,for_total_goals,for_total_behinds,against_total_goals,against_total_behinds
2001,R1,Sun 01-Apr-2001 2:10 PM,Kardinia Park,Geelong,True,3,4,4,3,5,2,5,4,115,4,True,False,False,West Coast,False,3,0,0,2,1,0,3,5,49,0,False,False,True,defeated,17,13,7,7
2001,R1,Sun 01-Apr-2001 2:10 PM,M.C.G.,Melbourne,True,3,3,3,3,4,6,5,1,103,0,False,False,True,Richmond,False,7,1,5,7,3,2,5,4,134,4,True,False,False,lost-to,15,13,20,14
2001,R1,Sun 01-Apr-2001 2:10 PM,S.C.G.,Adelaide,False,4,1,2,3,1,2,3,8,74,0,False,False,True,Sydney,True,4,3,5,1,7,5,3,3,126,4,True,False,False,lost-to,10,14,19,12
2001,R2,Fri 06-Apr-2001 7:40 PM,Docklands,Essendon,True,7,4,4,2,7,1,5,0,145,4,True,False,False,Port Adelaide,False,3,1,3,3,3,2,7,5,107,0,False,False,True,defeated,23,7,16,11
2001,R2,Sat 07-Apr-2001 2:10 PM,Princes Park,Carlton,True,4,5,0,4,2,3,5,3,81,0,False,False,True,Hawthorn,False,5,2,3,3,7,2,1,4,107,4,True,False,False,lost-to,11,15,16,11
2001,R2,Sat 07-Apr-2001 2:10 PM,M.C.G.,Richmond,True,2,4,2,3,1,2,4,6,69,0,False,False,True,Western Bulldogs,False,4,0,3,2,4,4,6,3,111,4,True,False,False,lost-to,9,15,17,9
2001,R2,Sat 07-Apr-2001 7:00 PM,Docklands,Collingwood,True,3,3,4,4,5,4,3,4,105,4,True,False,False,Fremantle,False,3,3,2,2,3,4,5,1,88,0,False,False,True,defeated,15,15,13,10
2001,R2,Sat 07-Apr-2001 7:10 PM,Football Park,Adelaide,True,2,3,1,4,4,4,4,3,80,0,False,False,True,Melbourne,False,3,3,6,3,2,4,1,1,83,4,True,False,False,lost-to,11,14,12,11
2001,R2,Sun 08-Apr-2001 12:10 PM,Subiaco,Sydney,False,4,2,8,6,2,1,1,5,104,4,True,False,False,West Coast,True,3,1,2,2,5,5,3,3,89,0,False,False,True,defeated,15,14,13,11
2001,R2,Sun 08-Apr-2001 2:10 PM,Docklands,Geelong,False,2,4,2,2,8,4,5,3,115,4,True,False,False,St Kilda,True,6,1,2,3,1,4,4,0,86,0,False,False,True,defeated,17,13,13,8
2001,R2,Sun 08-Apr-2001 2:10 PM,Gabba,Brisbane Lions,True,3,8,4,5,6,1,4,2,118,4,True,False,False,Kangaroos,False,2,3,4,3,1,2,1,2,58,0,False,False,True,defeated,17,16,8,10
2001,R3,Thu 12-Apr-2001 7:40 PM,M.C.G.,Carlton,True,3,2,2,4,3,3,6,0,93,4,True,False,False,Essendon,False,3,3,3,3,4,2,1,2,76,0,False,False,True,defeated,14,9,11,10
2001,R3,Sat 14-Apr-2001 2:10 PM,M.C.G.,Brisbane Lions,False,3,3,3,2,2,2,6,3,94,0,False,False,True,Richmond,True,3,4,2,4,8,3,4,3,116,4,True,False,False,lost-to,14,10,17,14
