season,team,teams,games,wins,draws,losses,wins_ratio,points_for,points_against,points_ratio,goals_for,behinds_for,accuracy_for,goals_against,behinds_against,accuracy_against,goals_ratio,behinds_ratio,rank,rank_score,coarse_rank,wins_prestige,adj_wins_prestige,points_prestige,adj_points_prestige
2008,Geelong,16,25,23,0,2,0.92,2963,1881,0.6116845582163501,432,371,0.5379825653798257,270,261,0.5084745762711864,0.6153846153846154,0.5870253164556962,1,1.0,1,0.3270826925306378,0.8793872938883425,0.09100023356525146,0.6002645297562313
2008,Hawthorn,16,25,20,0,5,0.8,2794,2075,0.5738344629287327,408,346,0.5411140583554377,297,293,0.5033898305084745,0.5787234042553191,0.5414710485133021,2,0.9333333333333333,1,0.20920587858048817,0.7987228781595257,0.08227836307448264,0.5735290297304229
2008,Melbourne,16,22,3,0,19,0.13636363636363635,1629,2602,0.3850153627983928,234,225,0.5098039215686274,376,346,0.5207756232686981,0.3836065573770492,0.39404553415061294,16,0.0,4,0.0022882220960360254,0.033257910636723204,0.04004938913303652,0.38491966994392723
2008,North Melbourne,16,23,12,1,10,0.5434782608695652,2196,2297,0.4887602937903405,321,270,0.5431472081218274,335,287,0.5385852090032154,0.4893292682926829,0.48473967684021546,8,0.5333333333333333,2,0.04979038966778613,0.4400866464300277,0.05940330104955688,0.4864746852286174
2008,Port Adelaide,16,22,7,0,15,0.3181818181818182,2118,2208,0.4895977808599168,309,264,0.5392670157068062,321,282,0.5323383084577115,0.49047619047619045,0.4835164835164835,13,0.19999999999999996,4,0.010051497153408386,0.13217295251732863,0.059602278181334914,0.4873629680020635
2008,Richmond,16,22,11,1,10,0.5227272727272727,2228,2288,0.4933569530558016,331,242,0.5776614310645725,335,278,0.5464926590538336,0.496996996996997,0.4653846153846154,9,0.4666666666666667,3,0.02867913699390322,0.30694586124682005,0.058102301127326936,0.48059944525348464
2008,St Kilda,16,25,14,0,11,0.56,2357,2232,0.5136195249509697,343,299,0.5342679127725857,322,300,0.5176848874598071,0.5157894736842106,0.4991652754590985,4,0.8,1,0.05211075135469264,0.4519447461921133,0.06548397266975592,0.5124541345067398
2008,Sydney,16,24,13,1,10,0.5625,2274,2044,0.5266327003242242,328,306,0.5173501577287066,293,286,0.5060449050086355,0.5281803542673108,0.5168918918918919,5,0.7333333333333334,2,0.03441998674652288,0.34840868750817555,0.07010129386064287,0.5306903174317297
2008,West Coast,16,22,4,0,18,0.18181818181818182,1670,2535,0.3971462544589774,236,254,0.4816326530612245,375,285,0.5681818181818182,0.3862520458265139,0.4712430426716141,15,0.06666666666666665,4,0.007655334946311649,0.10371445925360732,0.041807616691336764,0.39557914982972636
2008,Western Bulldogs,16,25,16,1,8,0.66,2742,2391,0.5341905318527177,405,312,0.5648535564853556,347,309,0.5289634146341463,0.538563829787234,0.5024154589371981,3,0.8666666666666667,1,0.07789587938956248,0.5589163081950936,0.06892356695827001,0.5261528590346305
2009,Adelaide,16,24,15,0,9,0.625,2348,1942,0.5473193473193473,344,284,0.5477707006369427,284,238,0.5440613026819924,0.5477707006369427,0.5440613026819924,5,0.7333333333333334,2,0.04276641625379469,0.40125369074319317,0.07414418090668373,0.5457078509145609
2009,Brisbane Lions,16,24,14,1,9,0.6041666666666666,2184,2101,0.5096849474912486,322,252,0.5609756097560976,304,277,0.5232358003442341,0.5143769968051118,0.4763705103969754,6,0.6666666666666667,2,0.06079667024235668,0.4926388390160462,0.0676892024586512,0.5213147354571998
2009,Carlton,16,23,13,0,10,0.5652173913043478,2374,2166,0.5229074889867842,348,286,0.5488958990536278,316,270,0.5392491467576792,0.5240963855421686,0.5143884892086331,7,0.6,2,0.07244928561544196,0.5395148091775349,0.0705372340911321,0.5323507845999944
2009,Collingwood,16,25,16,0,9,0.64,2356,2056,0.5339981867633726,338,328,0.5075075075075075,295,286,0.5077452667814114,0.5339652448657188,0.5342019543973942,4,0.8,1,0.053949266357325665,0.4610287304647614,0.07108756854659086,0.5344324651753729
2009,Essendon,16,23,10,1,12,0.45652173913043476,2150,2293,0.4839072698627054,313,272,0.535042735042735,336,277,0.5481239804241436,0.48228043143297383,0.49544626593806923,8,0.5333333333333333,2,0.03696822859176061,0.3654057715807616,0.05716400697659393,0.47628837598301643
2009,Fremantle,16,22,6,0,16,0.2727272727272727,1747,2259,0.4360958562156765,254,223,0.5324947589098532,333,261,0.5606060606060606,0.43270868824531517,0.4607438016528926,14,0.1333333333333333,4,0.007741998771181973,0.10477376457540144,0.04597435476919567,0.4195656688295261
2009,Geelong,16,25,21,0,4,0.84,2608,2012,0.5645021645021645,380,328,0.536723163841808,296,236,0.556390977443609,0.5621301775147929,0.5815602836879432,2,0.9333333333333333,1,0.20951657544909505,0.7990244630272182,0.08005954549709682,0.5662363900348997
2009,Hawthorn,16,22,9,0,13,0.4090909090909091,1962,2120,0.48064674179323863,285,252,0.5307262569832403,306,284,0.5186440677966102,0.48223350253807107,0.4701492537313433,9,0.4666666666666667,3,0.022159340251268717,0.2536882151023656,0.056849190428032416,0.4748277956023747
2009,Melbourne,16,22,4,0,18,0.18181818181818182,1706,2285,0.42746178902530696,252,194,0.5650224215246636,332,293,0.5312,0.4315068493150685,0.39835728952772076,16,0.0,4,0.001953212062944307,0.02851834761605963,0.04678397576537182,0.4240301855420089
2009,North Melbourne,16,22,7,1,14,0.3409090909090909,1680,2015,0.4546684709066306,244,216,0.5304347826086957,293,257,0.5327272727272727,0.4543761638733706,0.45665961945031713,13,0.19999999999999996,4,0.023313001743603547,0.2636457820735965,0.04924096486979745,0.43721206084492675
